id,name,description,brand,segment,category,category_path,color,material,premium,price,original_price,discount_pct,in_stock,avg_rating,rating_count,sizes,images,embed_text
ay-000011,Briefcase 'WINDSOR',"Full-grain cowhide in tobacco brown with a turn-lock flap and a hand-stitched handle. Inside there is a padded laptop sleeve, a divider for files and two pen loops for meetings.",Camel Active,men,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,brown,Leather,true,199.00,,,true,4.6,142,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000011-1.jpg,"Briefcase 'WINDSOR' Camel Active Business & laptop bags Full-grain cowhide in tobacco brown with a turn-lock flap and a hand-stitched handle. Inside there is a padded laptop sleeve, a divider for files and two pen loops for meetings."
ay-000012,Messenger Bag 'CORVUS',"Built for daily commuters, this dark grey messenger has a fleece-lined 14-inch laptop compartment and a quick-access front zip. The padded shoulder strap keeps the load comfortable on longer walks.",bugatti,men,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,grey,Polyester,false,89.93,119.90,25,true,4.2,203,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000012-1.jpg,"Messenger Bag 'CORVUS' bugatti Business & laptop bags Built for daily commuters, this dark grey messenger has a fleece-lined 14-inch laptop compartment and a quick-access front zip. The padded shoulder strap keeps the load comfortable on longer walks."
ay-000013,Work Tote 'HELENA',"A tall leather carryall in cognac that holds a 15-inch notebook upright alongside a folder. Professional enough for client meetings, soft enough to sling over a shoulder on the way home.",Liebeskind Berlin,women,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,cognac,Leather,true,189.90,,,true,4.5,117,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000013-1.jpg,"Work Tote 'HELENA' Liebeskind Berlin Business & laptop bags A tall leather carryall in cognac that holds a 15-inch notebook upright alongside a folder. Professional enough for client meetings, soft enough to sling over a shoulder on the way home."
ay-000014,Laptop Bag 'MERIDIAN',"Navy recycled twill with contrast webbing and a padded sleeve for a 15-inch machine. Two organiser pockets take cables and a charger, and the base is reinforced for the train ride.",Tommy Hilfiger,men,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,navy,Recycled polyester,false,129.90,,,true,4.3,176,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000014-1.jpg,"Laptop Bag 'MERIDIAN' Tommy Hilfiger Business & laptop bags Navy recycled twill with contrast webbing and a padded sleeve for a 15-inch machine. Two organiser pockets take cables and a charger, and the base is reinforced for the train ride."
ay-000015,Business Backpack 'ATLAS',"A clean-lined black backpack for the professional commute, with a padded 16-inch compartment and a hidden rear pocket for a passport. Wide ergonomic straps spread the weight on longer days.",Calvin Klein,men,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,black,Recycled polyester,false,139.00,,,true,4.4,231,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000015-1.jpg,"Business Backpack 'ATLAS' Calvin Klein Business & laptop bags A clean-lined black backpack for the professional commute, with a padded 16-inch compartment and a hidden rear pocket for a passport. Wide ergonomic straps spread the weight on longer days."
ay-000016,Briefcase 'HOLBORN',"Saffiano-embossed calfskin in black, cut into a sharp rectangular case. A padded laptop compartment, a file divider and a discreet interior zip make it a serious companion for board meetings.",BOSS,men,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,black,Leather,true,399.00,,,true,4.8,57,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000016-1.jpg,"Briefcase 'HOLBORN' BOSS Business & laptop bags Saffiano-embossed calfskin in black, cut into a sharp rectangular case. A padded laptop compartment, a file divider and a discreet interior zip make it a serious companion for board meetings."
ay-000017,Laptop Sleeve 'FLINT',"A slim felt-and-leather sleeve sized for a 14-inch notebook, with a magnetic closure and a thin outer pocket for a charger. Slides into a larger bag or travels on its own.",Camel Active,men,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,anthracite,Wool felt,false,49.90,,,true,,,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000017-1.jpg,"Laptop Sleeve 'FLINT' Camel Active Business & laptop bags A slim felt-and-leather sleeve sized for a 14-inch notebook, with a magnetic closure and a thin outer pocket for a charger. Slides into a larger bag or travels on its own."
ay-000018,Commuter Bag 'DOVER',"Water-repellent black nylon with a roll-over top and a padded 15-inch laptop compartment. Designed for cycling to work, it carries a change of clothes next to the business papers.",bugatti,men,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,black,Nylon,false,67.92,79.90,15,true,4.0,138,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000018-1.jpg,"Commuter Bag 'DOVER' bugatti Business & laptop bags Water-repellent black nylon with a roll-over top and a padded 15-inch laptop compartment. Designed for cycling to work, it carries a change of clothes next to the business papers."
ay-000019,Laptop Bag 'ASTRA',A softly structured taupe carrier that keeps a 14-inch notebook in a padded sleeve and a tablet in its own slot. Understated hardware makes it read professional in any meeting room.,Calvin Klein,women,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,taupe,Faux leather,false,109.90,,,true,4.2,105,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000019-1.jpg,Laptop Bag 'ASTRA' Calvin Klein Business & laptop bags A softly structured taupe carrier that keeps a 14-inch notebook in a padded sleeve and a tablet in its own slot. Understated hardware makes it read professional in any meeting room.
ay-000020,Document Bag 'REGENT',"Flat and formal, this brown leather case swallows A4 files, a slim laptop and a notebook. The short top handle and gold-tone clasp lend it a classic business look.",Camel Active,men,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,brown,Leather,true,132.30,189.00,30,true,4.4,66,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000020-1.jpg,"Document Bag 'REGENT' Camel Active Business & laptop bags Flat and formal, this brown leather case swallows A4 files, a slim laptop and a notebook. The short top handle and gold-tone clasp lend it a classic business look."
ay-000021,Work Tote 'PAULA',"Grained black leather shaped into a roomy tote with a padded compartment for a 13-inch laptop. It carries a lunch box, a folder and a pair of trainers without losing its shape.",Liebeskind Berlin,women,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,black,Leather,true,169.90,,,true,4.6,152,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000021-1.jpg,"Work Tote 'PAULA' Liebeskind Berlin Business & laptop bags Grained black leather shaped into a roomy tote with a padded compartment for a 13-inch laptop. It carries a lunch box, a folder and a pair of trainers without losing its shape."
ay-000022,Business Backpack 'NOVARA',"Slate grey polyester with a clamshell opening and a suspended 15-inch laptop compartment. Built for professionals who fly often, it lies flat at security and stands up on its own.",bugatti,men,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,grey,Polyester,false,99.90,,,true,4.3,187,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000022-1.jpg,"Business Backpack 'NOVARA' bugatti Business & laptop bags Slate grey polyester with a clamshell opening and a suspended 15-inch laptop compartment. Built for professionals who fly often, it lies flat at security and stands up on its own."
ay-000023,Messenger Bag 'KENT',"A classic flap-over messenger in dark navy with tonal branding, padded for a 14-inch machine. The adjustable strap and light frame suit a commuter who walks the last mile.",Tommy Hilfiger,men,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,navy,Recycled polyester,false,95.94,159.90,40,true,4.1,224,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000023-1.jpg,"Messenger Bag 'KENT' Tommy Hilfiger Business & laptop bags A classic flap-over messenger in dark navy with tonal branding, padded for a 14-inch machine. The adjustable strap and light frame suit a commuter who walks the last mile."
ay-000024,Laptop Bag 'ORLA',"Sand-coloured nappa with a zip top and a padded 14-inch sleeve inside. Slim enough for a crowded tram, smart enough for a client presentation straight afterwards. Gold-tone hardware and a hidden magnetic pocket finish it off.",Liebeskind Berlin,women,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,sand,Leather,true,179.00,,,true,4.4,73,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000024-1.jpg,"Laptop Bag 'ORLA' Liebeskind Berlin Business & laptop bags Sand-coloured nappa with a zip top and a padded 14-inch sleeve inside. Slim enough for a crowded tram, smart enough for a client presentation straight afterwards. Gold-tone hardware and a hidden magnetic pocket finish it off."
ay-000025,Briefcase 'ASCOT',"A hand-finished business case in dark brown calfskin with palladium fittings. Two document sections flank a padded laptop compartment, and the leather softens with years of daily use.",BOSS,men,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,dark brown,Leather,true,449.00,,,false,4.7,41,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000025-1.jpg,"Briefcase 'ASCOT' BOSS Business & laptop bags A hand-finished business case in dark brown calfskin with palladium fittings. Two document sections flank a padded laptop compartment, and the leather softens with years of daily use."
ay-000026,Business Backpack 'HALDEN',"Matte black with a rubberised logo and a padded 15-inch compartment that unzips fully. A luggage strap, a water-bottle pocket and a quilted back panel make the commute easier.",Tommy Hilfiger,men,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,black,Recycled polyester,false,119.92,149.90,20,true,4.2,168,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000026-1.jpg,"Business Backpack 'HALDEN' Tommy Hilfiger Business & laptop bags Matte black with a rubberised logo and a padded 15-inch compartment that unzips fully. A luggage strap, a water-bottle pocket and a quilted back panel make the commute easier."
ay-000027,Laptop Bag 'VIKTOR',"Smooth black leather with a magnetic flap and a whisper-quiet zip. The padded sleeve fits a 14-inch machine, and the interior is lined in a soft twill that will not scratch a screen.",HUGO,men,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,black,Leather,true,329.00,,,true,4.6,39,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000027-1.jpg,"Laptop Bag 'VIKTOR' HUGO Business & laptop bags Smooth black leather with a magnetic flap and a whisper-quiet zip. The padded sleeve fits a 14-inch machine, and the interior is lined in a soft twill that will not scratch a screen."
ay-000028,Work Tote 'BRISTOL',A large navy carryall with a magnetic top and a padded laptop pocket set against the back panel. Two open slots hold a notebook and a charger for a full day of meetings.,Calvin Klein,women,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,navy,Faux leather,false,119.90,,,true,4.0,129,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000028-1.jpg,Work Tote 'BRISTOL' Calvin Klein Business & laptop bags A large navy carryall with a magnetic top and a padded laptop pocket set against the back panel. Two open slots hold a notebook and a charger for a full day of meetings.
ay-000029,Commuter Backpack 'TEMPO',Olive canvas-look polyester with leather trims and a padded 15-inch laptop compartment. A side zip reaches the main section without taking the backpack off on a busy platform.,Camel Active,men,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,olive,Recycled polyester,false,89.90,,,true,4.3,214,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000029-1.jpg,Commuter Backpack 'TEMPO' Camel Active Business & laptop bags Olive canvas-look polyester with leather trims and a padded 15-inch laptop compartment. A side zip reaches the main section without taking the backpack off on a busy platform.
ay-000030,Messenger Bag 'LUCERNE',"A softly slouched cognac leather messenger with a buckled flap. Inside, a padded sleeve protects a 13-inch laptop while two open pockets take a notebook and a travel card.",bugatti,men,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,cognac,Leather,true,127.43,169.90,25,true,4.5,82,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000030-1.jpg,"Messenger Bag 'LUCERNE' bugatti Business & laptop bags A softly slouched cognac leather messenger with a buckled flap. Inside, a padded sleeve protects a 13-inch laptop while two open pockets take a notebook and a travel card."
ay-000031,Laptop Bag 'SOLENNE',Deep bordeaux leather with a wide top zip and a structured base. The padded 14-inch compartment sits behind a lined section that keeps documents flat and uncreased.,Liebeskind Berlin,women,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,bordeaux,Leather,true,199.00,,,true,4.5,61,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000031-1.jpg,Laptop Bag 'SOLENNE' Liebeskind Berlin Business & laptop bags Deep bordeaux leather with a wide top zip and a structured base. The padded 14-inch compartment sits behind a lined section that keeps documents flat and uncreased.
ay-000032,Briefcase 'MAYFAIR',"A formal black case with a polished frame and a short leather handle. Built for professionals who present for a living, it holds a slim laptop, a tablet and a stack of documents.",BOSS,men,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,black,Leather,true,322.15,379.00,15,true,4.8,34,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000032-1.jpg,"Briefcase 'MAYFAIR' BOSS Business & laptop bags A formal black case with a polished frame and a short leather handle. Built for professionals who present for a living, it holds a slim laptop, a tablet and a stack of documents."
ay-000033,Laptop Backpack 'FJORD',A tall navy backpack with signature striped webbing and a padded 16-inch compartment. Breathable shoulder straps and a firm back panel make it a comfortable daily commuter.,Tommy Hilfiger,men,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,navy,Recycled polyester,false,129.90,,,true,4.4,256,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000033-1.jpg,Laptop Backpack 'FJORD' Tommy Hilfiger Business & laptop bags A tall navy backpack with signature striped webbing and a padded 16-inch compartment. Breathable shoulder straps and a firm back panel make it a comfortable daily commuter.
ay-000034,Work Tote 'CAMILLA',A generous black leather shopper with a padded laptop sleeve and a removable pouch for small items. It has the presence of a designer piece and the capacity of a briefcase.,Liebeskind Berlin,women,Business & laptop bags,Accessories|Bags & backpacks|Bags|Business & laptop bags,black,Leather,true,209.00,,,false,4.6,48,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000034-1.jpg,Work Tote 'CAMILLA' Liebeskind Berlin Business & laptop bags A generous black leather shopper with a padded laptop sleeve and a removable pouch for small items. It has the presence of a designer piece and the capacity of a briefcase.
ay-000035,Bum Bag 'PALMA',"A glossy black belt bag with a wide adjustable strap that can be worn at the waist or across the chest. The bag holds a phone, keys and a card case and nothing more.",Guess,women,Bum bags,Accessories|Bags & backpacks|Bags|Bum bags,black,Faux leather,false,49.90,,,true,4.2,168,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000035-1.jpg,"Bum Bag 'PALMA' Guess Bum bags A glossy black belt bag with a wide adjustable strap that can be worn at the waist or across the chest. The bag holds a phone, keys and a card case and nothing more."
ay-000036,Bum Bag 'TRACK',A sporty grey nylon bag with two zipped pockets and reflective piping. Wear the bag high on the chest for cycling or low on the hip for a night out.,Diesel,men,Bum bags,Accessories|Bags & backpacks|Bags|Bum bags,grey,Nylon,false,44.93,59.90,25,true,4.0,91,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000036-1.jpg,Bum Bag 'TRACK' Diesel Bum bags A sporty grey nylon bag with two zipped pockets and reflective piping. Wear the bag high on the chest for cycling or low on the hip for a night out.
ay-000037,Bum Bag 'MINI TOMMY',"A small navy bag scaled for children, with a bright logo and a strap that grows with them. Big enough for a snack, a pocket-money purse and a favourite toy.",Tommy Hilfiger,kids,Bum bags,Accessories|Bags & backpacks|Bags|Bum bags,navy,Recycled polyester,false,34.90,,,true,4.3,77,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000037-1.jpg,"Bum Bag 'MINI TOMMY' Tommy Hilfiger Bum bags A small navy bag scaled for children, with a bright logo and a strap that grows with them. Big enough for a snack, a pocket-money purse and a favourite toy."
ay-000038,Bum Bag 'ASTORIA',"A cream-coloured bag with soft pleats and a gold buckle, worn as a belt bag over a knit dress. The lined interior has a slip pocket for cards and a hook for keys.",Kapten & Son,women,Bum bags,Accessories|Bags & backpacks|Bags|Bum bags,cream,Faux leather,false,44.90,,,true,,,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000038-1.jpg,"Bum Bag 'ASTORIA' Kapten & Son Bum bags A cream-coloured bag with soft pleats and a gold buckle, worn as a belt bag over a knit dress. The lined interior has a slip pocket for cards and a hook for keys."
ay-000039,Backpack 'VESTA',"A rounded beige backpack with leather straps and a fold-over flap. The bag suits lectures and weekend trips alike, with a padded back panel and a zipped valuables pocket.",Kapten & Son,women,Backpacks,Accessories|Bags & backpacks|Bags|Backpacks,beige,Recycled polyester,false,89.90,,,true,4.4,203,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000039-1.jpg,"Backpack 'VESTA' Kapten & Son Backpacks A rounded beige backpack with leather straps and a fold-over flap. The bag suits lectures and weekend trips alike, with a padded back panel and a zipped valuables pocket."
ay-000040,Backpack 'DOWNTOWN',"A tough black nylon bag with industrial zips and a boxy shape. Two mesh side pockets take bottles, and the roomy main section handles a gym kit or a full grocery run.",Diesel,men,Backpacks,Accessories|Bags & backpacks|Bags|Backpacks,black,Nylon,false,76.93,109.90,30,true,4.1,148,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000040-1.jpg,"Backpack 'DOWNTOWN' Diesel Backpacks A tough black nylon bag with industrial zips and a boxy shape. Two mesh side pockets take bottles, and the roomy main section handles a gym kit or a full grocery run."
ay-000041,Backpack 'ROVER',"Khaki canvas with leather pulls and a drawstring closure under the flap. This is a relaxed weekend bag for hikes, markets and long train journeys. Leather ages into the canvas over time, so the bag looks better in its third year than its first.",Camel Active,men,Backpacks,Accessories|Bags & backpacks|Bags|Backpacks,khaki,Cotton canvas,false,79.90,,,true,4.2,96,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000041-1.jpg,"Backpack 'ROVER' Camel Active Backpacks Khaki canvas with leather pulls and a drawstring closure under the flap. This is a relaxed weekend bag for hikes, markets and long train journeys. Leather ages into the canvas over time, so the bag looks better in its third year than its first."
ay-000042,Backpack 'BUBBLE',"A lightweight lilac bag with padded straps and a name tag inside. Made for nursery and primary school, the bag fits a lunch box, a drink and a change of clothes.",ABOUT YOU,kids,Backpacks,Accessories|Bags & backpacks|Bags|Backpacks,lilac,Recycled polyester,false,29.90,,,true,4.0,214,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000042-1.jpg,"Backpack 'BUBBLE' ABOUT YOU Backpacks A lightweight lilac bag with padded straps and a name tag inside. Made for nursery and primary school, the bag fits a lunch box, a drink and a change of clothes."
ay-000043,Backpack 'NORDIC',"A plain black backpack with a roomy main section and a front zip pocket. The bag is light, water-repellent and cheap enough to treat as an everyday workhorse.",ABOUT YOU,men,Backpacks,Accessories|Bags & backpacks|Bags|Backpacks,black,Recycled polyester,false,31.92,39.90,20,true,3.9,287,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000043-1.jpg,"Backpack 'NORDIC' ABOUT YOU Backpacks A plain black backpack with a roomy main section and a front zip pocket. The bag is light, water-repellent and cheap enough to treat as an everyday workhorse."
ay-000044,Backpack 'STELLAR',"A metallic silver bag with quilted panels and chain-trimmed straps. More of a going-out piece than a hiking bag, it still swallows a tablet and a small make-up pouch.",Guess,women,Backpacks,Accessories|Bags & backpacks|Bags|Backpacks,silver,Faux leather,false,99.90,,,false,4.3,68,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000044-1.jpg,"Backpack 'STELLAR' Guess Backpacks A metallic silver bag with quilted panels and chain-trimmed straps. More of a going-out piece than a hiking bag, it still swallows a tablet and a small make-up pouch."
ay-000045,Shoulder Bag 'ELINA',A softly draping taupe leather bag with a single wide strap and a hidden magnetic closure. The bag settles under the arm and pairs easily with tailoring or denim.,Coccinelle,women,Shoulder bags,Accessories|Bags & backpacks|Bags|Shoulder bags,taupe,Leather,true,279.00,,,true,4.7,52,ONE SIZE,https://pub-2e4a163f7e1b4ee49c544ba33966ad8e.r2.dev/catalog/ay-000045-1.jpg,Shoulder Bag 'ELINA' Coccinelle Shoulder bags A softly draping taupe leather bag with a single wide strap and a hidden magnetic closure. The bag settles under the arm and pairs easily with tailoring or denim.
